hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,1,38,2017,January,4,27,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,97.5,0,1
Resort Hotel,0,0,2016,February,7,8,1,5,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,No Deposit,241.0,,0,Group,46.66,0,0
City Hotel,0,36,2016,December,53,28,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,168.73,0,0
Resort Hotel,0,17,2016,December,53,31,2,1,1,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,No Deposit,,,0,Transient,39.0,0,2
City Hotel,0,35,2016,February,7,12,0,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,80.3,0,1
City Hotel,1,134,2016,December,53,26,1,5,2,2.0,0,BB,NLD,Online TA,TA/TO,0,0,0,F,No Deposit,9.0,,0,Transient,163.34,0,2
City Hotel,0,79,2015,October,41,10,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,1.0,,0,Transient-Party,62.0,0,0
City Hotel,0,96,2017,April,15,11,2,6,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,No Deposit,9.0,,0,Transient,187.0,0,2
Resort Hotel,0,17,2017,April,15,11,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,40.0,,0,Contract,68.95,0,0
Resort Hotel,0,0,2016,February,6,4,0,1,1,0.0,0,BB,NLD,Corporate,Corporate,1,0,0,A,No Deposit,,22.0,0,Transient,30.0,1,0
Resort Hotel,0,17,2017,July,29,21,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,No Deposit,241.0,,0,Transient,156.6,0,1
City Hotel,0,213,2017,August,35,28,1,3,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,19.0,,0,Transient-Party,104.0,0,0
City Hotel,1,47,2016,April,16,12,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,99.9,0,0
Resort Hotel,0,89,2016,September,37,10,2,3,2,0.0,0,FB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,5.0,,0,Transient,161.2,1,0
City Hotel,0,42,2017,February,6,8,4,12,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,91.23,0,0
City Hotel,1,325,2015,September,37,7,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,Non Refund,1.0,,0,Contract,62.0,0,0
